scenario,controller,seed,crashed,min_distance,ttc_min,a_y_peak,j_y_peak,t_lc,near_miss
lane_change,mppi,0,0,3.8134503083089757,4.372897639632284,13.884534524869991,73.50852880505471,nan,0
lane_change,mppi,1,0,3.6334625991628373,0.7323726250602723,14.828077911648874,85.03125101146438,nan,1
lane_change,mppi,2,0,2.922867005324122,0.4798266612055717,22.88494901233771,91.88238491157645,nan,1
lane_change,mppi,3,0,3.6042562202371378,6.5531063709579795,9.844049855144087,82.91343624944538,nan,0
lane_change,mppi,4,0,9.042952073350055,2.148529245522385,18.5548134893505,74.20544786107743,2.6500000000000004,0
lane_change,mppi,5,0,6.98703298385589,1.2981093603095821,17.424508364882243,75.59669166119467,nan,1
lane_change,mppi,6,0,4.388714296318275,0.7898789348876183,14.086523929317238,74.0105582624296,0.7000000000000001,1
lane_change,mppi,7,0,9.61825640588002,1.537585879978203,11.209646796137683,83.33102281055,3.7,0
lane_change,mppi,8,0,3.640546406994622,8.580018823210466,14.80222585725809,99.3433328995042,nan,0
lane_change,mppi,9,0,3.8162652416426233,10.156866547268647,6.898012587757666,49.668163841859524,nan,0
lane_change,cvar_mppi,0,0,3.8134503083089757,4.372897639632284,13.884534524869991,73.50852880505471,nan,0
lane_change,cvar_mppi,1,0,3.6334625991628373,0.7323726250602723,14.828077911648874,85.03125101146438,nan,1
lane_change,cvar_mppi,2,1,2.0776944061100164,0.726293080356278,21.220785250892067,97.58458447037424,nan,1
lane_change,cvar_mppi,3,0,3.5774578921233458,6.288599869014435,9.844049855144087,82.91343624944538,nan,0
lane_change,cvar_mppi,4,0,9.042952073350055,2.148529245522385,18.5548134893505,74.20544786107743,2.6500000000000004,0
lane_change,cvar_mppi,5,0,7.658456774582231,0.7970857700668608,17.424508364882243,75.59669166119467,nan,1
lane_change,cvar_mppi,6,0,4.388714296318275,0.7898789348876183,14.086523929317238,74.0105582624296,0.7000000000000001,1
lane_change,cvar_mppi,7,0,9.61825640588002,1.5696978025653832,11.209646796137683,83.33102281055,3.7,0
lane_change,cvar_mppi,8,0,3.621691032348461,8.953077890275754,14.80222585725809,99.3433328995042,nan,0
lane_change,cvar_mppi,9,0,3.8162652416426233,10.156866547268647,6.898012587757666,49.668163841859524,nan,0
